Linear,Gauss,Nodes,Edges,DataSize,F1_Score
linear,gauss,6,20,10,0.569
linear,gauss,6,20,20,0.569
linear,gauss,6,20,30,0.575
linear,gauss,9,10,10,0.56
linear,gauss,9,10,20,0.552
linear,gauss,9,10,30,0.545
linear,gauss,9,15,10,0.537
linear,gauss,9,15,20,0.532
linear,gauss,9,15,30,0.531
linear,gauss,9,20,10,0.526
linear,gauss,9,20,20,0.525
linear,gauss,9,20,30,0.525
linear,gauss,12,10,10,0.517
linear,gauss,12,10,20,0.506
linear,gauss,12,10,30,0.503
linear,gauss,12,15,10,0.497
linear,gauss,12,15,20,0.49
linear,gauss,12,15,30,0.488
linear,gauss,12,20,10,0.48
linear,gauss,6,15,35,0.56
linear,gauss,6,20,5,0.56
linear,gauss,6,20,15,0.571
linear,gauss,6,20,25,0.579
linear,gauss,6,20,35,0.59
linear,gauss,9,10,5,0.59
linear,gauss,9,10,15,0.578
linear,gauss,9,10,25,0.571
linear,gauss,9,10,35,0.568
linear,gauss,9,15,5,0.568
linear,gauss,9,15,15,0.552
linear,gauss,9,15,25,0.543
linear,gauss,6,10,5,0.2
linear,gauss,6,10,10,0.485
linear,gauss,6,10,15,0.453
linear,gauss,6,10,20,0.379
linear,gauss,6,10,25,0.417
linear,gauss,6,10,30,0.428
linear,gauss,6,10,35,0.433
linear,gauss,6,15,5,0.433
linear,gauss,6,15,10,0.457
linear,gauss,6,15,15,0.46
linear,gauss,6,15,20,0.477
linear,gauss,6,15,25,0.498
linear,gauss,6,15,30,0.507
linear,gauss,9,15,35,0.2
linear,gauss,9,20,5,0.471
linear,gauss,9,20,15,0.481
linear,gauss,9,20,25,0.498
linear,gauss,9,20,35,0.506
linear,gauss,12,10,5,0.506
linear,gauss,12,10,15,0.515
linear,gauss,12,10,25,0.494
linear,gauss,12,10,35,0.504
linear,gauss,12,15,5,0.504
linear,gauss,12,15,15,0.475
linear,gauss,12,15,25,0.445
linear,gauss,12,15,35,0.2
linear,gauss,12,20,15,0.419
linear,gauss,12,20,20,0.388
linear,gauss,12,20,25,0.392
linear,gauss,12,20,30,0.385
linear,gauss,12,20,35,0.2
linear,gauss,12,20,5,0.2
